size_sqft,bedrooms,bathrooms,levels,distance_to_city_km,has_pool,basement_finished_sqft,basement_unfinished_sqft,lot_size_sqft,land_size_acres,garage_capacity,sold_quickly
2797,3,2.1,2,3.3,0,0,0,7720,0.16,2,1
2450,3,2.3,2,12.2,0,990,665,6612,0.167,2,0
1891,2,1.6,2,10.9,1,510,727,5384,0.202,1,0
2406,3,2.4,1,8.2,0,901,257,5073,0.133,1,1
1966,3,1.9,1,33.3,0,0,0,5196,0.07,2,0
2016,3,2.5,1,14.0,1,954,214,6867,0.158,1,1
1904,2,1.6,1,0.5,0,506,149,4125,0.08,1,0
3525,5,4.2,3,27.2,0,0,0,6597,0.08,1,0
1142,2,1.0,3,10.8,0,259,121,2000,0.048,2,0
3135,4,3.0,2,4.1,0,522,1257,3647,0.154,1,1
2725,3,2.1,3,7.0,0,692,459,8947,0.27,1,1
2301,3,3.5,3,18.6,0,534,981,5260,0.02,1,1
2205,3,2.0,3,19.5,0,0,0,7846,0.171,2,0
3909,5,4.5,1,15.3,0,594,891,9479,0.196,1,0
2241,3,2.0,1,6.9,0,279,1258,5884,0.121,1,1
915,1,1.0,1,16.8,0,11,501,5261,0.125,2,0
3038,5,4.0,2,13.9,0,0,0,6183,0.076,1,1
3352,5,4.8,1,13.2,0,413,1195,5851,0.12,1,1
2860,3,2.6,3,12.6,0,709,1031,3516,0.068,2,1
2649,3,2.3,2,10.2,0,589,902,3675,0.174,1,0
1735,2,1.7,2,13.1,0,439,677,2000,0.02,1,1
1698,2,1.8,2,8.3,0,407,277,2942,0.071,2,0
3196,4,3.0,1,16.6,0,944,1197,3343,0.02,1,1
2330,3,2.7,2,13.7,0,638,658,2000,0.112,2,0
2520,4,3.0,1,25.6,0,709,192,2000,0.026,2,0
3543,5,4.8,1,3.6,0,0,0,5754,0.142,2,1
1752,2,1.8,1,20.7,0,555,665,3017,0.053,2,1
1103,1,1.0,1,5.7,0,164,324,2000,0.02,2,1
1177,1,1.0,1,8.0,0,453,93,2000,0.057,1,1
2692,4,3.1,3,11.3,0,0,0,8392,0.208,1,1
3546,5,4.3,1,22.9,1,0,0,9745,0.176,2,1
1819,3,2.8,1,5.9,0,0,0,3934,0.096,1,1
2023,3,2.1,1,19.3,0,699,506,3060,0.063,2,1
2226,3,2.4,2,19.0,0,578,170,2416,0.134,1,1
3680,5,3.5,1,20.5,0,0,0,7057,0.208,2,0
2810,4,3.5,2,7.7,0,0,0,5438,0.165,2,1
1832,2,1.0,1,17.8,0,231,762,5441,0.136,1,0
3206,4,2.7,2,12.2,0,389,1739,7427,0.175,1,1
2426,2,1.7,1,15.4,0,504,812,5070,0.089,2,0
1612,2,1.5,2,9.1,0,462,239,3116,0.024,2,1
2706,4,3.2,2,0.5,0,661,1046,3641,0.133,2,1
1711,2,1.2,3,13.4,0,811,0,2000,0.02,2,1
2959,4,4.5,1,17.6,0,534,929,7218,0.16,1,1
2463,3,2.3,1,18.5,0,658,488,3593,0.02,1,0
2543,3,2.3,2,14.6,0,635,899,6901,0.143,1,0
4015,6,5.0,2,9.5,0,1006,1606,7390,0.145,1,1
1318,1,1.0,1,6.8,0,0,0,2269,0.083,2,0
2924,4,3.9,2,17.8,0,696,696,4317,0.04,1,0
1468,1,1.0,1,18.4,0,545,244,5465,0.02,1,0
2816,4,3.8,2,11.7,0,711,375,5854,0.153,2,1
1742,2,1.6,1,13.8,0,370,273,2000,0.095,1,0
1781,2,1.7,1,13.3,0,668,225,2525,0.028,2,0
3239,4,3.4,1,8.5,0,0,0,3430,0.082,1,1
2898,4,3.5,2,18.2,0,0,0,5746,0.119,2,1
2589,4,3.3,1,22.3,0,298,496,2397,0.036,2,1
1191,2,1.7,2,0.5,0,275,175,2000,0.076,2,1
2610,3,1.7,1,15.7,0,0,0,9274,0.238,1,0
2492,3,2.8,1,14.9,0,0,0,9203,0.246,1,1
2798,3,2.9,2,10.9,0,774,150,5522,0.126,1,0
2927,4,3.8,2,5.2,0,1627,154,8224,0.197,2,1
1725,2,1.3,1,24.2,1,269,871,2377,0.056,1,0
2953,4,3.7,1,10.8,0,0,0,4691,0.125,2,1
3939,6,5.0,1,24.2,0,535,1048,8993,0.198,2,0
3288,5,4.8,1,18.2,0,464,738,8029,0.116,1,1
1831,2,1.0,3,12.4,0,0,0,3448,0.086,2,0
1454,1,1.0,2,10.8,0,259,239,5486,0.14,1,1
4281,6,5.0,2,13.3,1,276,1421,11477,0.273,1,1
3355,5,4.6,1,15.7,0,1399,143,8664,0.256,1,1
3627,5,4.2,2,13.3,0,872,457,7210,0.198,1,1
2352,3,2.8,3,9.2,0,0,0,8123,0.229,1,1
2730,4,2.5,2,19.7,0,313,576,8109,0.129,1,0
1333,2,1.8,2,23.6,0,616,65,2000,0.078,1,1
2050,3,2.5,1,11.9,0,177,523,4581,0.097,2,1
3858,5,4.9,1,13.1,0,923,1628,8169,0.14,1,1
1776,2,1.5,1,17.3,0,0,0,2000,0.098,1,0
3317,5,5.0,2,9.6,0,449,716,5738,0.06,1,1
2322,3,1.9,2,0.5,0,318,846,5038,0.035,1,1
2483,3,2.7,1,13.1,0,400,523,6220,0.129,2,0
2137,3,2.0,3,19.5,0,530,673,6484,0.285,2,0
3270,5,4.3,2,2.9,0,864,381,7391,0.178,2,1
1767,3,2.8,2,0.5,0,0,0,2000,0.094,2,1
3226,4,3.7,1,16.2,0,469,544,6150,0.148,1,0
3676,5,5.0,1,5.0,0,1017,108,11009,0.211,1,1
3700,5,4.2,1,2.2,0,1704,760,10334,0.279,1,1
2468,3,3.0,1,3.7,0,0,0,4293,0.04,2,1
1691,3,2.3,1,14.3,0,0,0,3181,0.099,1,0
2332,3,2.0,2,21.1,0,805,79,6065,0.033,2,0
2434,3,1.6,2,2.4,0,351,818,2981,0.02,1,0
3521,5,4.5,1,13.5,0,1568,304,7244,0.248,2,0
1594,3,2.1,1,14.1,1,735,373,5240,0.202,2,1
2262,3,2.8,1,13.5,0,964,519,2508,0.02,2,0
2822,4,3.1,2,16.4,0,0,0,8371,0.229,2,1
2611,3,2.2,3,11.8,0,757,509,5087,0.165,2,1
4068,6,5.0,1,2.0,0,1579,625,7062,0.19,1,1
1543,2,2.3,1,13.7,0,568,247,2000,0.043,1,0
1543,2,1.0,1,19.3,1,465,31,3831,0.02,2,0
2516,3,2.9,2,10.2,0,0,0,5698,0.214,2,1
1901,2,1.8,2,6.2,0,217,915,2000,0.02,1,1
2235,3,2.3,3,17.6,0,113,960,2000,0.093,2,0
2780,4,3.7,3,8.3,0,0,0,4713,0.162,2,0
1609,3,2.3,1,10.2,0,0,0,2000,0.029,1,1
487,1,1.6,1,17.8,0,0,0,2000,0.061,2,0
3849,6,5.0,1,16.0,0,618,1189,7645,0.184,2,0
2856,4,3.4,1,28.6,0,756,250,5068,0.071,2,0
1462,2,1.2,1,9.2,0,18,536,2000,0.044,2,0
2445,4,2.6,2,20.0,0,0,1702,2807,0.084,1,1
2288,3,2.3,1,5.9,0,762,460,5187,0.192,2,1
1693,2,1.5,1,26.8,0,844,162,3693,0.161,1,0
2692,3,3.2,2,22.2,0,987,521,7786,0.122,2,0
2792,4,3.6,1,17.4,0,0,0,5238,0.172,1,1
2829,4,3.3,2,2.6,0,935,667,2000,0.02,1,1
1484,2,1.4,1,15.8,0,406,195,2000,0.033,2,0
3081,3,2.6,1,7.2,0,0,0,4194,0.037,1,1
2493,3,2.2,1,17.2,1,516,1162,4633,0.154,1,1
2651,4,3.7,3,13.2,0,824,313,2565,0.083,1,1
1709,3,3.2,1,10.8,0,57,696,2000,0.02,2,1
2513,4,3.2,1,25.7,0,512,370,2491,0.02,1,0
2624,4,4.0,1,6.2,0,0,0,4593,0.114,1,1
691,1,1.0,2,8.4,0,138,210,2640,0.056,2,0
2264,3,2.7,2,17.2,0,731,302,3630,0.066,2,0
3194,5,4.5,2,8.0,0,1013,659,5611,0.115,1,1
1818,3,2.6,2,8.2,0,0,0,6411,0.069,1,1
1891,2,1.3,1,18.6,0,7,1228,6374,0.218,2,0
1837,3,3.3,1,18.5,0,370,612,3389,0.133,1,1
2134,4,3.0,1,25.7,1,0,0,2566,0.098,2,0
1981,2,2.0,2,16.4,0,0,0,5320,0.122,1,1
3437,4,4.2,1,19.7,0,0,0,6880,0.175,2,1
1712,2,1.2,1,12.4,0,0,0,6103,0.21,2,1
2505,3,3.0,2,10.5,0,999,399,5616,0.101,1,1
2501,3,2.5,1,13.4,0,448,998,3646,0.076,2,0
2406,2,1.4,1,8.3,0,623,990,3493,0.02,2,0
2602,4,3.4,1,20.2,0,1283,303,6936,0.167,2,0
963,1,1.0,3,6.5,0,314,73,2000,0.048,1,1
2768,4,3.7,1,17.6,0,893,462,3851,0.064,2,0
2316,3,3.1,2,26.6,1,0,0,8233,0.217,2,0
3437,5,4.0,1,11.5,0,1507,869,4607,0.122,2,0
2275,3,2.8,1,21.1,0,882,30,2000,0.113,1,0
1142,1,1.0,1,14.7,0,0,0,3160,0.02,2,0
2293,2,1.0,1,12.7,0,523,758,3626,0.055,1,0
2982,4,3.9,1,18.0,0,1264,530,6629,0.192,1,1
2548,3,3.2,1,16.8,0,0,1765,4439,0.094,2,0
2500,3,2.0,2,15.7,0,0,0,5285,0.119,1,0
2406,3,2.5,1,12.3,0,792,419,4702,0.223,1,1
2220,3,1.7,1,7.3,0,49,1431,3273,0.02,1,1
3741,5,4.4,1,23.8,0,1609,123,8990,0.202,2,0
1774,3,2.6,1,14.2,0,0,0,2960,0.03,2,0
3961,5,5.0,3,18.0,0,1702,574,8131,0.236,2,1
3100,4,4.2,2,27.1,0,0,0,7144,0.134,1,0
3530,5,5.0,1,19.1,0,0,0,5705,0.148,2,1
3496,5,4.1,3,4.8,0,985,248,6907,0.196,2,0
3565,5,4.3,2,4.4,0,0,0,9158,0.247,2,1
3144,4,2.6,1,26.2,0,793,417,6125,0.153,2,0
3038,4,3.0,1,0.5,0,743,454,7008,0.159,2,1
3309,4,2.7,1,7.0,0,0,0,6256,0.104,2,0
3414,4,3.6,1,16.9,0,1625,0,7699,0.176,2,0
3228,4,3.1,1,14.2,0,0,0,5390,0.133,1,0
2452,4,2.8,1,1.8,0,941,444,4953,0.139,2,1
943,1,1.0,1,12.9,0,119,489,3720,0.078,2,1
2593,3,1.8,1,26.2,0,0,0,7864,0.271,1,0
3539,4,3.6,1,5.9,1,0,0,6737,0.147,2,1
1523,2,1.5,1,1.2,0,0,0,2909,0.125,1,1
2480,3,2.2,1,7.5,0,780,506,4789,0.238,2,0
2668,3,2.0,1,12.9,0,0,0,6859,0.248,2,1
2331,3,1.7,1,9.2,0,456,929,2000,0.083,1,1
1334,2,1.7,2,19.2,0,798,54,5172,0.105,1,0
2886,3,2.5,2,20.2,0,516,959,3318,0.143,1,0
2039,3,2.6,2,21.6,0,717,408,3151,0.02,2,0
2677,4,3.2,2,18.7,0,0,0,7274,0.125,1,0
2380,3,2.3,2,10.4,0,409,522,4736,0.128,1,1
1116,1,1.1,2,8.3,0,171,464,2320,0.069,2,1
824,1,1.0,1,12.4,0,414,126,2000,0.057,1,0
3402,4,3.2,3,19.3,1,855,582,7375,0.218,1,0
3056,4,3.8,1,6.0,0,222,1289,5629,0.107,1,1
3771,5,4.6,1,14.3,1,1352,1163,7255,0.238,2,1
3487,5,3.4,2,19.3,0,1294,446,9289,0.248,2,1
2297,3,1.6,1,20.0,0,253,738,6784,0.13,1,0
3296,4,3.1,1,16.5,1,730,1322,11172,0.318,1,0
2143,3,2.9,2,4.5,0,502,585,7278,0.22,2,1
1593,2,1.7,1,10.4,0,0,0,4552,0.121,1,0
2439,3,2.7,2,11.4,1,869,671,6577,0.094,1,0
1971,2,1.7,3,0.5,0,1137,129,5103,0.045,2,1
3172,4,2.9,2,5.8,0,0,0,6695,0.156,1,1
1417,2,1.7,1,22.0,0,553,145,2000,0.02,1,0
1974,3,1.9,1,8.9,0,483,312,4599,0.183,1,1
3245,5,4.9,2,1.6,0,1184,185,5149,0.226,2,1
1365,1,1.0,2,15.4,0,591,258,3689,0.047,1,1
1964,2,1.5,1,20.3,0,346,367,5796,0.221,2,1
2396,3,1.5,1,0.5,0,0,0,2000,0.06,1,1
3589,5,3.7,1,10.8,0,0,0,8927,0.201,1,0
3004,5,4.9,2,5.9,0,1117,429,5609,0.195,1,1
1795,2,1.7,1,6.3,0,0,0,5429,0.167,2,0
3627,6,4.8,2,5.2,0,672,972,8912,0.183,1,1
3147,4,4.0,1,13.7,0,353,1736,4439,0.129,2,1
2205,3,1.9,1,11.4,1,490,455,3575,0.124,1,0
3572,5,4.4,3,21.7,0,0,0,8049,0.304,2,0
3435,5,4.2,2,4.7,0,421,989,4014,0.121,1,1
2275,3,1.9,1,22.6,0,423,450,4238,0.118,1,1
2565,4,4.0,1,12.2,0,1167,125,7959,0.227,1,1
2849,4,4.2,1,12.8,0,0,0,7569,0.143,1,0
2281,3,2.5,2,6.3,0,0,0,7723,0.214,1,0
1761,2,2.2,1,15.0,0,425,795,2417,0.02,1,0
2463,3,2.3,1,21.7,0,336,558,3483,0.199,2,0
2444,3,2.5,1,5.8,0,619,681,5852,0.148,2,1
2380,3,2.5,3,19.9,0,759,330,3622,0.081,2,0
3304,5,3.8,1,7.2,1,356,1800,4226,0.192,2,1
1910,3,2.6,1,8.8,0,0,0,6453,0.11,2,1
2599,4,3.8,2,13.8,0,0,0,7180,0.133,2,0
2054,3,2.3,2,11.7,0,0,0,3729,0.077,2,1
4353,6,4.6,1,11.3,0,894,530,9721,0.201,2,1
3222,4,3.6,2,11.9,0,754,628,9697,0.306,2,1
1461,2,1.0,2,26.2,0,0,744,2000,0.02,2,0
1351,2,1.0,1,13.1,1,0,925,5546,0.149,2,0
3013,5,4.5,2,4.4,0,0,0,3890,0.044,1,1
3312,5,4.0,2,3.5,0,0,0,4360,0.028,1,0
3024,4,3.5,2,10.0,0,0,1216,6414,0.038,2,1
773,1,1.0,1,25.3,0,328,180,2000,0.1,1,0
2055,2,1.0,2,30.0,0,821,478,3930,0.04,2,0
3010,4,3.5,2,18.7,0,910,770,5536,0.097,1,0
3819,5,4.7,1,3.4,0,523,760,9550,0.237,2,1
2061,3,2.9,2,5.5,0,296,671,3274,0.113,2,1
2513,3,2.2,1,3.7,0,744,159,2526,0.02,1,1
1967,3,2.4,2,5.6,0,788,388,3718,0.113,2,1
1907,2,1.0,2,0.5,0,283,355,8619,0.28,2,1
2132,2,2.4,1,16.0,0,0,0,2000,0.059,1,1
3927,5,5.0,2,7.7,0,452,1670,8171,0.154,1,1
2740,4,3.4,1,25.0,0,0,0,2936,0.02,2,0
1435,2,1.3,2,14.9,0,0,0,2000,0.054,2,0
1650,2,1.0,2,17.1,0,442,404,2061,0.047,1,0
3371,4,3.9,2,0.5,0,365,960,8424,0.238,1,1
2491,4,3.7,1,8.5,0,0,0,7730,0.203,2,1
2446,4,3.8,2,3.5,0,547,660,5092,0.089,2,1
1086,2,1.2,2,0.5,0,0,0,2000,0.02,2,0
4128,6,5.0,1,16.1,0,1978,863,9287,0.143,1,1
1190,2,1.0,1,12.4,0,229,523,2000,0.052,1,0
2657,3,2.8,2,1.2,0,473,346,5080,0.114,2,0
2792,3,3.0,3,21.2,0,1278,0,7016,0.162,1,1
3458,5,5.0,2,16.3,0,1568,812,3736,0.056,1,0
3617,4,3.5,3,7.5,0,551,1368,6070,0.171,2,1
2370,3,2.2,1,15.9,0,0,0,4377,0.125,2,1
2148,3,1.9,1,13.1,0,399,920,5207,0.197,2,0
2743,4,3.0,1,7.7,0,0,0,2250,0.064,2,1
2129,2,1.6,1,6.9,0,460,321,2000,0.048,2,0
1337,1,1.0,1,16.9,1,536,250,2000,0.068,2,1
2890,5,5.0,1,14.3,1,401,968,4163,0.077,2,1
1735,3,3.0,1,1.5,0,989,91,4922,0.159,1,1
1859,3,2.1,2,17.4,1,345,399,4619,0.121,1,1
2122,3,1.8,2,3.2,0,1142,56,6018,0.157,1,1
2510,4,3.1,1,8.2,0,0,0,4682,0.157,1,0
2070,3,2.9,2,17.9,0,215,1035,3814,0.171,1,1
2653,4,3.1,1,10.9,0,1754,86,5031,0.125,2,1
1963,3,2.7,1,18.3,0,292,781,2965,0.052,2,1
3535,4,3.1,2,25.4,0,1215,1238,12140,0.303,2,0
2125,2,1.6,1,6.9,0,323,848,5020,0.086,1,1
2833,3,2.7,2,16.3,0,0,0,3945,0.068,1,0
2803,3,2.9,1,18.1,0,533,1055,5180,0.203,2,0
2278,3,3.1,2,20.8,0,862,708,6372,0.139,2,0
3533,5,5.0,2,12.9,0,0,0,3205,0.022,2,1
3221,5,4.1,1,5.7,0,350,819,5911,0.119,1,1
2344,3,2.3,1,1.3,0,497,921,6911,0.126,1,1
1399,2,1.0,1,17.2,0,704,1,4008,0.074,2,0
1219,2,1.3,1,19.1,0,0,0,2000,0.02,1,0
2069,3,2.4,1,18.9,0,833,251,5870,0.125,1,0
2561,3,2.2,1,16.6,1,0,0,4910,0.081,2,1
2329,3,2.1,2,4.7,0,0,0,2698,0.124,1,1
3080,4,3.9,2,18.7,0,744,567,5758,0.183,2,1
2305,3,2.9,2,0.5,0,452,279,7258,0.14,2,1
3224,5,4.6,3,17.4,0,0,0,7349,0.094,2,0
4255,6,4.8,2,4.6,0,1193,699,8463,0.161,2,1
1728,2,1.5,1,4.1,0,594,218,2000,0.092,2,0
3294,4,3.2,2,2.1,0,333,656,5893,0.128,1,1
3306,4,4.1,1,0.5,0,1754,540,8184,0.125,1,1
3411,5,3.5,2,18.4,0,0,0,8630,0.199,2,1
2336,3,2.1,1,2.5,0,0,790,2000,0.097,1,1
2631,4,3.1,2,14.2,0,0,0,3141,0.055,1,0
842,1,1.0,1,22.6,0,0,0,2000,0.02,1,0
3327,5,4.9,2,4.0,0,734,372,5913,0.103,2,1
1847,2,1.0,1,16.5,0,414,838,4953,0.098,2,0
2743,4,3.3,1,4.1,0,633,966,2361,0.064,1,1
4563,6,5.0,2,8.1,0,2127,589,7706,0.242,1,1
2442,3,2.9,2,5.2,0,0,0,6540,0.162,1,1
1619,2,1.1,1,6.9,0,319,198,5076,0.157,1,1
2604,3,2.1,2,16.4,0,0,0,2301,0.066,1,1
2679,4,3.6,1,12.7,0,1820,0,6574,0.104,1,1
2706,4,3.5,1,2.3,0,0,0,2577,0.127,2,1
2104,2,1.4,2,2.9,0,0,0,5419,0.081,2,0
3108,5,2.5,2,21.5,0,922,167,7604,0.144,1,0
2855,4,2.8,2,0.8,0,0,1668,6049,0.173,1,1
986,1,1.0,1,22.4,0,0,0,2000,0.067,2,0
2679,4,3.7,2,6.5,0,744,276,2000,0.02,2,1
1995,2,1.0,2,12.4,0,0,0,6857,0.091,2,0
1358,1,1.0,2,13.6,0,0,0,2000,0.092,2,1
2503,3,2.3,1,8.6,0,45,969,3666,0.135,1,1
2906,4,2.8,3,16.0,0,419,529,5274,0.127,2,1
3692,5,4.7,3,10.3,0,1960,116,7448,0.122,1,1
1099,2,1.2,2,5.9,0,0,0,3262,0.075,2,1
2778,4,4.3,1,6.4,0,493,721,6413,0.213,2,1
2911,4,3.1,2,9.7,0,25,1962,6246,0.159,2,1
2123,3,2.1,1,23.1,0,984,372,3835,0.056,1,0
4155,6,5.0,3,12.1,0,0,0,6491,0.189,2,1
3014,3,2.1,1,7.7,0,0,0,8013,0.282,1,1
1733,2,2.2,1,3.4,0,732,364,4234,0.203,2,1
2423,3,2.6,2,11.7,0,727,463,6268,0.17,1,0
2960,4,3.2,1,8.2,0,0,0,5481,0.123,2,0
1340,2,1.3,1,0.5,0,165,464,4133,0.02,2,1
1853,3,3.8,1,15.6,0,59,795,2000,0.02,2,0
1813,3,2.6,3,17.4,0,192,476,5782,0.197,1,0
3584,5,4.5,1,15.7,0,1166,1222,6768,0.195,1,1
2288,4,3.3,1,24.8,0,954,349,3661,0.093,2,0
1892,2,1.9,1,14.9,0,0,0,2716,0.021,2,1
2239,3,1.6,2,9.9,0,199,523,3200,0.111,2,0
2435,3,2.3,2,15.9,0,1002,238,4903,0.143,2,1
2501,4,2.0,1,17.8,0,0,0,5443,0.151,2,0
3365,4,3.1,2,11.4,1,291,1262,9944,0.191,1,1
2282,3,2.8,1,13.9,0,582,295,4635,0.073,1,1
1731,3,3.1,2,11.3,0,0,0,2000,0.02,2,0
3270,4,3.7,2,21.7,0,1013,416,11062,0.144,1,0
1918,3,2.7,2,21.0,0,615,204,3751,0.059,1,1
3133,5,3.5,2,10.5,1,0,0,5949,0.148,2,1
3140,5,4.1,1,6.6,0,0,0,5207,0.096,2,1
3406,5,5.0,2,11.4,0,997,603,4012,0.148,1,1
3076,4,3.1,2,0.5,0,575,677,8597,0.133,2,1
1867,2,1.3,2,17.5,0,0,0,2000,0.112,2,0
3056,3,2.0,1,18.3,0,769,197,8128,0.228,1,0
2100,3,1.9,2,4.9,0,0,0,3628,0.021,1,1
2762,4,3.2,2,18.0,0,1130,479,6685,0.283,2,1
1890,3,2.1,1,10.5,0,490,189,3169,0.061,1,1
2570,4,3.9,1,25.3,0,1159,582,5786,0.082,1,0
2036,2,1.5,3,28.6,0,0,0,4052,0.045,2,0
2749,4,3.9,3,10.5,0,1215,691,5565,0.104,2,1
2435,3,1.7,2,1.4,0,529,996,7376,0.151,2,0
2909,4,4.0,2,21.0,0,627,1110,5846,0.105,1,0
1984,3,2.4,3,24.5,0,534,532,2000,0.061,1,0
2652,4,4.3,2,17.5,0,903,606,2112,0.111,2,1
1737,3,2.4,1,12.3,0,806,80,2335,0.02,1,1
4039,6,4.7,2,19.9,0,0,0,9366,0.229,1,0
2923,4,4.0,2,4.1,0,695,681,7053,0.216,2,1
2208,3,2.3,1,19.7,1,461,946,6009,0.112,1,1
1998,2,1.0,1,7.1,1,438,597,4820,0.076,2,1
3102,5,4.5,1,10.7,0,0,0,6978,0.169,1,1
1713,2,1.5,2,21.1,0,439,537,2000,0.02,1,0
2598,4,3.9,2,20.9,0,681,680,6336,0.142,1,1
3614,5,2.6,1,11.0,0,2276,149,10224,0.336,2,0
1430,2,2.0,1,7.5,1,107,451,2608,0.038,2,1
1943,2,1.2,1,13.0,0,885,348,5203,0.202,2,0
3691,5,5.0,1,5.8,0,0,0,6234,0.164,2,1
2999,4,2.5,2,20.5,0,1301,421,8098,0.175,2,0
2377,3,2.7,1,7.3,0,620,980,6087,0.151,2,1
2385,3,2.6,3,4.9,0,160,780,5032,0.138,1,1
1799,2,1.2,1,18.1,0,0,0,2000,0.02,1,0
4259,6,5.0,1,14.5,0,20,2224,9222,0.139,2,0
2793,4,3.2,2,7.8,0,708,807,8899,0.191,2,0
3163,5,4.2,1,8.2,0,539,877,6581,0.116,1,1
2286,3,1.8,1,10.5,0,690,403,9158,0.241,1,1
1853,2,1.9,1,5.7,0,95,1198,2000,0.08,1,0
1853,2,1.0,1,13.2,0,229,997,2218,0.029,2,0
2819,3,2.9,2,10.6,0,0,0,4254,0.124,2,1
3350,5,3.5,2,0.5,0,1197,821,6733,0.176,1,1
3076,5,4.3,2,9.1,0,101,905,8017,0.072,2,1
2736,4,3.3,1,22.0,0,76,1032,4416,0.15,2,1
1573,2,1.4,1,5.5,0,0,0,3188,0.02,2,0
2058,3,2.9,1,7.9,0,679,272,5269,0.109,1,1
1388,2,1.3,2,9.2,0,407,241,3062,0.151,2,0
1659,2,1.2,1,11.2,0,0,0,3472,0.121,1,1
2879,4,3.3,2,2.3,0,80,1530,5630,0.063,1,1
1988,3,2.9,3,6.5,1,269,1021,6850,0.161,1,1
1956,3,1.8,2,10.7,0,174,997,2344,0.056,1,1
1810,2,1.0,1,16.3,0,735,495,6727,0.168,2,0
2441,3,1.4,2,15.5,0,0,0,3718,0.02,1,0
2054,3,3.4,1,13.7,0,0,0,5451,0.234,1,1
2248,3,1.8,3,13.7,0,0,0,5639,0.151,1,0
2448,3,1.5,1,5.2,0,0,1100,4901,0.119,2,1
2339,3,2.0,1,0.5,0,151,831,4793,0.157,2,1
2768,3,2.1,2,2.1,0,709,580,6458,0.139,1,1
697,1,1.1,1,14.5,0,260,46,2000,0.077,2,0
2432,4,3.2,1,15.3,0,0,0,3623,0.046,2,0
3716,5,4.5,2,5.1,0,652,903,9700,0.19,1,1
2405,3,1.5,2,23.7,0,930,638,4208,0.124,2,0
2135,3,2.5,2,23.5,0,503,415,4393,0.101,2,1
4426,6,4.6,1,6.0,0,929,877,8459,0.192,2,1
2106,3,2.2,2,12.6,0,397,880,4792,0.128,2,0
3053,4,3.0,2,19.5,0,0,0,7578,0.116,1,1
2846,4,3.4,2,22.4,0,491,759,4286,0.02,1,1
2067,3,2.7,1,13.6,1,0,0,2000,0.033,1,1
1572,2,1.0,1,8.6,0,99,691,7528,0.105,1,0
3851,5,3.8,1,16.1,0,0,0,5352,0.141,2,1
1584,2,1.5,2,15.6,0,183,540,3670,0.14,1,0
2752,3,2.7,1,24.1,0,0,0,3631,0.074,2,0
1746,2,2.1,3,17.4,0,388,619,3399,0.02,2,0
2223,3,2.2,1,15.5,0,1088,150,2000,0.04,1,1
2598,4,2.7,2,11.7,0,1211,0,9246,0.17,1,1
2502,3,2.5,1,15.8,0,1246,476,4604,0.163,1,0
1761,2,1.0,2,0.5,0,0,0,3255,0.075,1,0
1676,2,1.0,1,13.9,0,0,0,4992,0.175,1,0
3529,5,5.0,1,16.5,0,1063,447,5664,0.089,2,0
4063,6,5.0,1,0.8,0,702,688,4710,0.107,1,1
1941,3,2.0,1,4.6,0,812,297,6575,0.113,2,0
3096,4,3.4,1,0.5,0,1734,293,2100,0.073,2,1
2257,2,1.4,1,15.7,0,0,0,4982,0.1,1,0
3409,4,3.5,2,17.7,0,1268,429,3864,0.053,1,1
2331,3,2.2,1,2.1,0,1023,266,5444,0.054,2,1
3423,5,3.4,1,9.9,0,1731,260,8054,0.227,1,1
2325,3,1.9,1,5.0,0,0,0,4324,0.13,2,0
3313,5,4.1,1,15.9,0,1264,520,5499,0.098,1,0
2384,3,2.4,1,5.2,0,0,0,3202,0.036,2,1
2412,3,1.9,1,5.8,0,384,476,4776,0.134,1,1
2539,4,3.5,3,14.9,1,1360,182,4234,0.16,1,1
1601,2,1.2,1,28.3,0,51,559,2000,0.02,1,0
1962,2,1.0,1,6.3,0,0,0,3341,0.133,2,1
1970,2,1.0,2,7.3,0,456,173,3065,0.086,2,1
3122,5,4.6,1,9.9,0,0,0,11786,0.295,1,1
2628,3,2.6,1,16.1,0,0,0,4568,0.083,1,0
2814,4,3.8,1,13.3,0,377,671,4601,0.056,2,1
2291,3,2.7,1,7.5,0,813,178,5960,0.152,1,1
2251,3,2.7,1,8.8,0,1342,222,8311,0.108,1,1
1665,3,2.6,3,8.1,0,45,514,2000,0.111,2,1
4226,6,4.5,3,4.3,0,0,0,8127,0.211,1,1
2417,4,3.3,2,19.0,1,111,741,3445,0.028,2,0
1949,2,1.0,1,9.4,0,633,559,6342,0.175,1,0
709,1,1.1,2,15.6,0,0,0,2879,0.02,2,0
2018,2,1.4,2,7.7,0,0,0,5342,0.154,1,0
2369,3,3.0,1,12.7,0,0,0,3083,0.11,1,0
2482,3,1.9,1,19.5,0,791,315,5193,0.122,2,0
2684,4,3.4,1,22.4,0,329,619,7582,0.203,1,0
2357,4,3.5,2,18.8,0,418,944,7899,0.132,1,0
1405,2,1.2,1,5.7,0,238,700,2245,0.02,1,1
3596,5,4.5,3,1.8,0,256,1396,8330,0.227,2,1
2437,3,3.1,1,11.8,0,141,785,6938,0.21,2,1
2041,3,1.9,1,15.5,0,174,577,4654,0.17,2,0
2697,3,1.1,1,24.0,0,668,850,7660,0.168,1,0
2894,4,4.2,1,11.4,0,358,1635,2000,0.02,2,1
3007,5,4.0,2,17.6,0,541,1260,7268,0.045,2,1
2980,4,4.0,2,14.0,0,757,239,6107,0.306,1,1
